PC	variance
PC1	0.29578962412431586
PC2	0.09571602199197903
PC3	0.055553369559159266
PC4	0.04654268179199375
PC5	0.03728192449370728
PC6	0.031608639835812885
PC7	0.028030779658889383
PC8	0.024370426787354994
PC9	0.02139951576708311
PC10	0.020623915181509186
