sampleid	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1_0403_9699	0.14446540473960726	0.19907553169825112	-0.6508759661239844	-0.38894141812461175	-0.10043992951361634	0.15465716341625946	0.10018688854997315	-0.14531795759184973	-0.019791462820870808	0.09244969733183497
1_0410_9686	-0.32804197029135657	0.4994990379406328	-0.0875682173670716	-0.004415127701165133	-0.06886543734084569	0.017626177678799648	-0.09853979495840878	-0.03881895963843357	0.019619697127940417	-0.06143888717455096
1_0410_9687	-0.3771138913024388	0.5980426488028713	-0.09658447321386093	-0.09814768924652706	-0.13673833727933896	-0.04108427670357269	-0.11584056790236878	-0.0663874661556875	-0.016767242935924836	-0.008222875810896674
1_0410_9689	-0.2879182783846087	0.5634358009650041	-0.12988097787450134	-0.08350732259612027	-0.15920121775575075	-0.009633240553270464	-0.0999754590649898	0.04719414684776322	0.005053288786867914	0.03816913218644908
1_0410_9691	-0.10197387238041393	0.5151657243551816	-0.2229995219666444	-0.421500751188893	-0.08863212004456832	-0.07161629560769625	-0.161646402755772	-0.05331528122108069	-0.07337069708092644	0.04804354940270734
1_0410_9692	0.027186636950257727	0.4698082597521585	-0.27560672912472783	-0.166756359581967	-0.10500077383426508	0.07300923211522867	-0.08029569709667085	0.1553206182269679	0.0030664321489467824	0.06637910661125096
1_0410_9693	-0.11714301479064294	0.5470730191638787	-0.20184448257307394	-0.23189424009223122	0.05588893590881217	-0.046787319078574856	-0.1819413745365348	0.1913736521451386	-0.0027337604578973563	0.011320878150190273
1_0410_9694	-0.08109686605640759	0.45121037532638686	-0.27511092377795304	-0.3758754929411423	-0.07218334794703857	-0.023949565527486116	-0.1479272951090448	0.04971767827233776	-0.003020152123131292	0.045883138886765915
1_0410_9697	-0.1842251011274065	0.603310478564681	-0.05812571340303438	-0.12258952091106862	-0.325692730294096	-0.009753969808872694	-0.13113203192078954	-0.12146782107393252	-0.007298910648071815	0.04262374709747985
1_0410_9698	-0.3228850289910506	0.6468817652866463	-0.01840047313829746	0.01875022648630943	-0.1749077511922808	-0.06895569633777747	0.04639217827135964	-0.28879040275284373	-0.017675699321108972	-0.037288270712914295
