PC	variance
PC1	0.29115693815999477
PC2	0.18668412626627912
PC3	0.11714217812291959
PC4	0.062352040140237756
PC5	0.05236596837799927
PC6	0.03731768037336659
PC7	0.02759997335777577
PC8	0.023360516275519314
PC9	0.01550055310743941
PC10	0.014080525083651017
